company_id,name,industry
A216214E-0534-7CCE-EAAD-5785EA9E857C,Aliquet Libero Ltd,Health Care
370F2FF1-826E-16FD-3CD3-2776AE5DEA82,Enim Mauris Quis Corporation,Capital Goods
57258829-A575-2A97-7CE1-6FD44188F5CD,Sit Amet Consulting,Health Care
97FDA027-8935-A505-5DF3-E2B30F4F0154,Pede Ac Company,Capital Goods
186D2E83-AC21-84B5-8699-DBE0327AFAA3,Quam A Felis LLP,Finance
27BCA960-D8EC-B63D-5416-3DC7E376DA4C,Lorem Corporation,Technology
C22388FC-4DAC-D63D-8D98-F15B46EA0530,Magna Nam Company,Finance
2CC91CA5-E866-936A-5B6B-2C6C994A2ADC,Eros Non Enim Incorporated,Health Care
C84B8A91-3850-8E91-D3C5-BBB1A0BDBBE1,Vestibulum Ante Ipsum Company,Finance
BDA1031F-257A-8DE8-4480-996DF4551F0F,Iaculis Enim Limited,Health Care
E669215C-8499-1371-BD2F-D21B9E229440,Vitae Risus Institute,Finance
F4A6F13C-60E4-700C-4448-2B199D7DC79F,Turpis Associates,Finance
2E621D1F-05D6-627F-07D7-586B26064AE5,Pulvinar Arcu Et Ltd,Technology
15396471-2D4B-0C6E-2552-23FA8F42C851,Eget Industries,Finance
C045C458-304C-DB89-024F-870B1A658FF4,Massa Integer LLC,Health Care
F939CD5F-CD76-1B01-7C83-58D5987BACED,Vitae Mauris Company,Finance
09E7D216-4BFD-21D1-DA7D-5CB24E692CEA,Etiam Gravida LLP,Technology
E100F5A3-F5EC-D887-A5BB-66A7ED98BB14,Lacinia Mattis Integer Company,Finance
EC7B6CE0-884F-7C2F-64F4-1CB4852CD601,Semper Auctor Mauris Ltd,Capital Goods
C7258BD3-E740-3B8D-42C4-5D930C780BF6,Malesuada Id Industries,Capital Goods
7A533A1C-CEC7-4846-CA91-1E59E3888484,Interdum Company,Capital Goods
EC0F4138-57D3-34BF-4CE1-308A73A41D97,Tempor Inc.,Finance
2FA4DE89-82A4-3067-5708-7DA6FA657BBC,Ut Nisi A LLC,Finance
61A39917-3EA8-48E7-6D58-0B6B775CEC3D,Risus Institute,Health Care
5366008B-E220-76C3-D29D-D1817580BB9F,Donec Ltd,Finance
51FB2C45-A4A2-3391-2D66-8482D6EB4B37,Tempus Company,Technology
A9AC7015-BCEA-CB48-9571-DEDC03E25E60,Amet Risus Limited,Health Care
0BEB0F4B-C4BA-28CF-543E-82CA68B1652D,Et Limited,Capital Goods
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,